,Country,Year,Exports (Extra-EU) (THOUSAND TONS),Exports (Intra-EU) (THOUSAND TONS),Imports (Extra-EU) (THOUSAND TONS),Imports (Intra-EU) (THOUSAND TONS),Area (SQ.KM.),Total Population (THOUSAND PEOPLE),Total Exports (THOUSAND TONS),Total Imports (THOUSAND TONS)
1117,Austria,2002,3.227088,13.033619,17.57201,146.206248,83871,8059.591,16.260707,163.778258
1118,Austria,2003,3.610107,19.90553,21.626479,167.255916,83871,8098.393,23.515636999999998,188.882395
1119,Austria,2004,2.773789,18.605083,26.475557,180.753277,83871,8141.815,21.378872,207.228834
1120,Austria,2005,2.853383,22.794955,34.299829,167.505189,83871,8200.618,25.648338000000003,201.80501800000002
1121,Austria,2006,2.403822,22.471847,17.946673,178.540804,83871,8253.451,24.875669000000002,196.487477
1122,Austria,2007,2.204314,24.183663,13.891296,196.877579,83871,8282.076,26.387977,210.768875
1123,Austria,2008,2.488143,25.367525,25.07374,177.242442,83871,8307.368,27.855668,202.31618200000003
1124,Austria,2009,2.52141,27.041035,24.17061,183.78326,83871,8334.895,29.562445,207.95387000000002
1125,Austria,2010,3.676149,36.246378,33.868954,189.346631,83871,8350.976,39.922527,223.215585
1126,Austria,2011,8.250649,28.88966,34.823915,191.241098,83871,8374.682,37.140309,226.065013
1127,Austria,2012,2.954241,30.357015,27.546927,210.448448,83871,8407.717,33.311256,237.99537500000002
1128,Austria,2013,5.775612,27.630044,11.615626,214.093894,83871,8451.556,33.405656,225.70952
1129,Austria,2014,3.207924,28.397768,18.706412,224.855308,83871,8507.522,31.605691999999998,243.56172
1130,Austria,2015,3.111707,24.355169,14.664917,218.029061,83871,8584.609,27.466876,232.69397800000002
1131,Austria,2016,3.203476,28.783567,24.608718,225.09916,83871,8700.233,31.987043,249.70787800000002
1132,Austria,2017,3.508968,38.771249,36.872189,206.520129,83871,8772.74,42.280217,243.392318
1133,Austria,2018,4.999088,40.37441,32.168733,220.980724,83871,8822.252,45.373498,253.149457
1134,Austria,2019,6.984909,49.660196,33.388124,239.520731,83871,8858.773,56.645105,272.908855
1135,Austria,2020,6.90235,69.060655,33.723505,274.717906,83871,8901.106,75.963005,308.441411
1136,Austria,2021,2.563139,98.603304,62.531487,266.631859,83871,8914.448,101.166443,329.16334600000005
1137,Austria,2022,2.525539,91.983636,57.172054,273.643692,83871,8929.716,94.509175,330.815746
2840,Belgium,2002,17.708729,212.423141,9.849837,311.44091,30528,10332.714,230.13187,321.29074699999995
2841,Belgium,2003,20.952483,236.326234,11.433219,313.168506,30528,10378.423,257.27871700000003,324.601725
2842,Belgium,2004,25.057097,238.94842,23.751426,280.935754,30528,10426.678,264.005517,304.68717999999996
2843,Belgium,2005,27.739803,239.289945,20.505133,295.748314,30528,10485.647,267.029748,316.253447
2844,Belgium,2006,29.341688,238.955672,20.54097,289.97694,30528,10548.309,268.29735999999997,310.51791000000003
2845,Belgium,2007,38.52352,251.830034,18.153272,333.198854,30528,10617.641,290.35355400000003,351.352126
2846,Belgium,2008,44.816035,227.482161,32.28984,349.081437,30528,10689.752,272.29819599999996,381.37127699999996
2847,Belgium,2009,38.836626,238.387864,21.39714,346.355647,30528,10763.68,277.22449,367.75278699999996
2848,Belgium,2010,44.524463,252.778801,39.868242,351.679718,30528,10839.033,297.303264,391.54796
2849,Belgium,2011,45.242828,259.649685,45.32456,354.918329,30528,10916.86,304.892513,400.24288900000005
2850,Belgium,2012,49.347354,285.860387,44.788168,396.080792,30528,10994.625,335.207741,440.86895999999996
2851,Belgium,2013,55.223965,289.465799,34.901898,417.427656,30528,11067.654,344.689764,452.32955400000003
2852,Belgium,2014,48.630145,316.423876,50.282285,466.88844,30528,11138.86,365.05402100000003,517.170725
2853,Belgium,2015,28.773347,323.249592,47.842807,419.325495,30528,11214.586,352.022939,467.168302
2854,Belgium,2016,26.250623,303.797771,36.203082,443.47776,30528,11282.021,330.04839400000003,479.680842
2855,Belgium,2017,25.101515,308.822175,42.244602,442.343115,30528,11351.651,333.92369,484.587717
2856,Belgium,2018,27.21895,303.407256,30.065954,419.394307,30528,11417.328,330.626206,449.460261
2857,Belgium,2019,35.500445,329.383914,30.326914,418.210684,30528,11479.863,364.884359,448.537598
2858,Belgium,2020,32.659097,356.335974,52.220753,432.264448,30528,11541.273,388.99507100000005,484.485201
2859,Belgium,2021,47.206168,340.145019,55.084286,430.998275,30528,11582.16,387.351187,486.082561
2860,Belgium,2022,63.541358,327.355557,58.521607,461.907361,30528,11640.679,390.896915,520.4289679999999
4563,Bulgaria,2002,2.204979,2.630393,10.698862,10.584757,110879,8004.225,4.835372,21.283619
4564,Bulgaria,2003,1.91262,3.293247,13.214331,7.683193,110879,7945.395,5.205867,20.897524
4565,Bulgaria,2004,2.783324,3.487269,7.947718,6.979919,110879,7890.084,6.270593,14.927637
4566,Bulgaria,2005,2.17608,1.720873,9.545586,37.866114,110879,7840.549,3.896953,47.4117
4567,Bulgaria,2006,1.849269,2.563994,10.210655,30.226077,110879,7789.894,4.413263000000001,40.436732
4568,Bulgaria,2007,2.440263,6.896362,50.735648,44.451914,110879,7742.178,9.336625,95.187562
4569,Bulgaria,2008,2.576529,20.799418,75.568479,34.607164,110879,7695.893,23.375947,110.175643
4570,Bulgaria,2009,2.794184,30.938768,99.792195,37.788817,110879,7653.933,33.732952,137.58101200000002
4571,Bulgaria,2010,3.220233,32.926248,73.516008,39.728352,110879,7615.538,36.146481,113.24436
4572,Bulgaria,2011,2.978936,15.189851,42.067784,43.876668,110879,7569.007,18.168787000000002,85.94445200000001
4573,Bulgaria,2012,2.422068,11.618163,42.892477,60.94171,110879,7517.253,14.040230999999999,103.834187
4574,Bulgaria,2013,2.42631,15.257406,37.848141,61.899515,110879,7459.435,17.683716,99.747656
4575,Bulgaria,2014,3.130998,20.034678,37.712939,95.687493,110879,7402.9,23.165675999999998,133.400432
4576,Bulgaria,2015,5.454237,24.352978,42.688217,84.33292,110879,7341.383,29.807215,127.02113700000001
4577,Bulgaria,2016,6.46092,11.330929,42.079582,70.995184,110879,7277.124,17.791849,113.074766
4578,Bulgaria,2017,5.299821,28.611531,41.20904,72.754434,110879,7214.825,33.911352,113.963474
4579,Bulgaria,2018,7.285825,29.319663,50.138298,78.515233,110879,7150.032,36.605488,128.653531
4580,Bulgaria,2019,7.341161,20.499012,55.521383,73.10116,110879,7084.829,27.840173,128.622543
4581,Bulgaria,2020,8.467873,18.647527,59.534456,92.785534,110879,7020.235,27.1154,152.31999
4582,Bulgaria,2021,8.642929,30.883466,72.202184,95.662021,110879,6938.114,39.526395,167.864205
4583,Bulgaria,2022,10.158757,30.675687,69.313363,79.113301,110879,6833.621,40.834444,148.42666400000002
6286,Croatia,2002,0.435426,0.709306,5.573143,28.625578,56594,4494.073,1.1447319999999999,34.198721
6287,Croatia,2003,0.367553,0.501087,6.340031,34.186247,56594,4471.664,0.86864,40.526278000000005
6288,Croatia,2004,0.604732,0.735327,6.073498,36.81837,56594,4450.613,1.3400590000000001,42.891868
6289,Croatia,2005,0.520232,0.758483,10.702629,36.445209,56594,4436.087,1.278715,47.147838
6290,Croatia,2006,0.780869,0.881811,12.342504,47.244577,56594,4423.276,1.66268,59.587081
6291,Croatia,2007,0.786518,0.795085,10.104256,51.642439,56594,4411.843,1.581603,61.746695
6292,Croatia,2008,0.790011,1.140455,11.914387,51.934199,56594,4399.221,1.930466,63.848586
6293,Croatia,2009,0.828812,0.804192,12.284868,53.803235,56594,4388.107,1.6330040000000001,66.088103
6294,Croatia,2010,0.5837,0.691716,14.429154,54.075047,56594,4376.152,1.2754159999999999,68.504201
6295,Croatia,2011,0.851808,0.852761,12.37139,50.540116,56594,4361.212,1.704569,62.911505999999996
6296,Croatia,2012,0.685484,1.190139,13.283489,49.18028,56594,4342.471,1.875623,62.463769
6297,Croatia,2013,1.034884,2.54527,12.597044,42.700203,56594,4320.718,3.580154,55.297247
6298,Croatia,2014,2.093632,5.479338,13.094904,43.381067,56594,4296.989,7.57297,56.475971
6299,Croatia,2015,1.794921,6.540503,8.685322,44.54746,56594,4270.955,8.335424,53.232782
6300,Croatia,2016,2.280819,9.87168,6.476805,44.225491,56594,4238.675,12.152498999999999,50.702296
6301,Croatia,2017,3.911717,12.373933,9.130504,47.974376,56594,4208.827,16.28565,57.10488
6302,Croatia,2018,4.356853,12.508539,8.938082,53.789068,56594,4176.106,16.865392,62.72715
6303,Croatia,2019,4.962838,19.344605,17.865788,58.132039,56594,4144.864,24.307443,75.997827
6304,Croatia,2020,4.6921,25.816791,19.105659,63.988762,56594,4114.639,30.508891,83.094421
6305,Croatia,2021,5.121132,28.047631,25.669986,79.189819,56594,4079.1,33.168763,104.859805
6306,Croatia,2022,6.07205,44.656802,26.015701,84.9131,56594,4041.171,50.728851999999996,110.92880099999999
